model,constraint,padding_condition,constraint_position,padding_level,prompt_tokens,trial,seed,success,time_taken,query,output_snippet,experiment_version
llama3.2:3b,uppercase,prose,before,0,54,0,1000,1,5.48,What is the capital of France?,THE CAPITAL OF FRANCE IS PARIS!,v1
llama3.2:3b,uppercase,prose,before,0,55,1,1001,1,1.67,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM!,v1
llama3.2:3b,uppercase,prose,before,0,54,2,1002,1,4.45,What color is a ripe banana?,"A RIPE BANANA USUALLY HAS A YELLOW COLOR, BUT IT CAN ALSO BE GREEN OR SPOTTY WITH BROWN SPOTS DEPENDING ON THE RIPENESS AND TYPE OF BANANA.",v1
llama3.2:3b,uppercase,prose,before,4,287,0,1000,1,7.27,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,4,287,1,1001,1,7.88,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM.,v1
llama3.2:3b,uppercase,prose,before,4,282,2,1002,1,8.51,What color is a ripe banana?,THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT.,v1
llama3.2:3b,uppercase,prose,before,16,973,0,1000,1,34.79,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,16,973,1,1001,1,30.05,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM.,v1
llama3.2:3b,uppercase,prose,before,16,978,2,1002,1,40.16,What color is a ripe banana?,"THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT. THE TOPIC DISCUSSED INCLUDES AQUEDUCTS, VOLCANIC BASALT COLUMNS, ARCTIC TERN MIGRATION PATTERNS, MEDIEVAL TRADE ROUTES, AND PHOTOSYNTHESIS IN ",v1
llama3.2:3b,uppercase,prose,before,32,1893,0,1000,1,64.12,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,32,1892,1,1001,1,67.24,Name one planet in our solar system.,MARS IS THE PLANET IN OUR SOLAR SYSTEM THAT IS KNOWN FOR ITS RED COLOR AND HAS THE THINEST ATMOSPHERE AMONG ALL THE PLANETS.,v1
llama3.2:3b,uppercase,prose,before,32,1908,2,1002,1,76.17,What color is a ripe banana?,"THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT. THE DISCUSSION FOCUSES ON VARIOUS TOPICS SUCH AS CLIMATE FLUCTUATIONS, ARCTIC TERN MIGRATION PATTERNS, AQUEDUCT CONSTRUCTION, AND PHOTOSYNTHES",v1
llama3.2:3b,negative_the,prose,before,0,55,0,1000,1,2.26,What is the capital of France?,Paris is capital of France.,v1
llama3.2:3b,negative_the,prose,before,0,56,1,1001,1,1.11,Name one planet in our solar system.,Mars,v1
llama3.2:3b,negative_the,prose,before,0,55,2,1002,1,3.94,What color is a ripe banana?,"Ripe banana typically has yellow skin, although some varieties may have green or reddish tint. Yellow coloration indicates high sugar content and ripeness.",v1
llama3.2:3b,negative_the,prose,before,4,288,0,1000,1,9.56,What is the capital of France?,"Paris, capital of France, is located in western part of country.",v1
llama3.2:3b,negative_the,prose,before,4,288,1,1001,1,7.65,Name one planet in our solar system.,Mercury,v1
llama3.2:3b,negative_the,prose,before,4,283,2,1002,1,13.74,What color is a ripe banana?,"Yellow, but not necessarily due to pigment absorption like accessory pigments in algae. Coloration in fruit often results from combination of chlorophyll breakdown, enzymatic reactions, and ripening p",v1
llama3.2:3b,negative_the,prose,before,16,974,0,1000,1,36.05,What is the capital of France?,"Paris, capital city of France, is located in northern part of country. It has rich history dating back centuries, with many famous landmarks such as Eiffel Tower and Notre-Dame Cathedral. Paris is kno",v1
llama3.2:3b,negative_the,prose,before,16,974,1,1001,1,33.41,Name one planet in our solar system.,"Mercury is a rocky planet with extremely high surface temperatures during day, but drops to -170 degrees Celsius at night due to its proximity to sun and lack of atmosphere.",v1
llama3.2:3b,negative_the,prose,before,16,979,2,1002,1,29.23,What color is a ripe banana?,"Yellow, brown, or green, depending on stage ripeness.",v1
llama3.2:3b,negative_the,prose,before,32,1894,0,1000,1,65.09,What is the capital of France?,Paris,v1
